"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"long-chain fatty-acyl-CoA metabolic process [GO:0035336]",18,0.89525,0.73003,1,0.10475,0.27007,0.67163,0.052911,0.58624,0.92333,2,0.29535,0.83492,1,16,0.022606,0.40996,0.87712
"long-chain fatty acid import into cell [GO:0044539]",10,0.79923,0.30727,0.9679,0.20077,0.69283,1,0.28816,0.9994,0.9999,1,0.43315,0.82682,1,9,0.27205,0.9999,1
"long-chain fatty acid import into peroxisome [GO:0015910]",11,0.99337,0.94061,1,0.0066277,0.059494,0.2695,0.013255,0.25277,0.6456,0,NA,NA,NA,11,0.013255,0.33167,0.8316
"very long-chain fatty acid catabolic process [GO:0042760]",11,0.99337,0.94061,1,0.0066277,0.059494,0.2695,0.013255,0.25277,0.6456,0,NA,NA,NA,11,0.013255,0.33167,0.8316
"acyl-CoA metabolic process [GO:0006637]",10,0.9409,0.79402,1,0.059099,0.20608,0.55198,0.1182,0.91431,0.9999,0,NA,NA,NA,10,0.1182,0.963,1
"fatty acid catabolic process [GO:0009062]",11,0.86209,0.50255,1,0.13791,0.49755,0.8625,0.12089,0.92361,0.9999,1,0.14785,0.76452,1,10,0.1182,0.963,1
"L-histidine biosynthetic process [GO:0000105]",9,1,1,1,1e-100,0.00029997,0.0056694,1e-100,0.00019998,0.0037796,0,NA,NA,NA,9,1e-100,9.999e-05,0.0018398
"protein glycosylation [GO:0006486]",11,0.87828,0.53865,1,0.12172,0.46145,0.82259,0.14987,0.9678,0.9999,1,0.48539,0.84072,1,10,0.11632,0.9606,1
"phosphatidic acid biosynthetic process [GO:0006654]",3,0.66667,0.27687,0.91805,0.33333,0.76712,1,1e-100,0.046895,0.15281,1,1e-100,0.48305,0.92395,2,1e-100,0.11549,0.39352
"cardiolipin biosynthetic process [GO:0032049]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
