"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"long-chain fatty acid import into cell [GO:0044539]",10,0.84145,0.84812,1,0.15855,0.15198,0.51506,0.28522,0.92471,0.9999,1,0.84064,0.94441,0.9993,9,0.22351,0.88351,1
"long-chain fatty acid import into peroxisome [GO:0015910]",11,0.5868,0.14259,0.49267,0.4132,0.85751,1,0.43886,0.999,0.9999,6,0.64476,0.9982,0.9993,5,0.19179,0.74693,1
"very long-chain fatty acid catabolic process [GO:0042760]",11,0.5868,0.14259,0.49267,0.4132,0.85751,1,0.43886,0.999,0.9999,6,0.64476,0.9982,0.9993,5,0.19179,0.74693,1
"acyl-CoA metabolic process [GO:0006637]",10,0.80953,0.77682,1,0.19047,0.22328,0.61909,0.34907,0.9779,0.9999,1,0.84064,0.94441,0.9993,9,0.29445,0.9654,1
"fatty acid catabolic process [GO:0009062]",11,0.73594,0.55754,1,0.26406,0.44256,0.9528,0.31733,0.9666,0.9999,2,0.42032,0.79442,0.9993,9,0.29445,0.9654,1
"L-histidine biosynthetic process [GO:0000105]",9,1,1,1,1e-100,9.999e-05,0.018298,1e-100,0.00019998,0.0060994,0,NA,NA,NA,9,1e-100,0.00019998,0.0058328
"protein glycosylation [GO:0006486]",10,0.62632,0.24128,0.67784,0.37368,0.75882,1,0.31857,0.9606,0.9999,5,0.57121,0.9841,0.9993,5,0.065934,0.39196,0.75473
"phosphatidic acid biosynthetic process [GO:0006654]",3,0.66661,0.36886,0.82059,0.33339,0.63174,1,0.00010901,0.19188,0.43351,1,3.2972e-60,0.29897,0.7833,2,0.00016352,0.38836,0.75473
"cardiolipin biosynthetic process [GO:0032049]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"carnitine metabolic process [GO:0009437]",3,0.30331,0.032597,0.28406,0.69669,0.9675,1,0.16181,0.61134,0.9999,2,0.076328,0.35746,0.82154,1,0.33279,0.85371,1
"hydrogen peroxide catabolic process [GO:0042744]",5,0.8661,0.79302,1,0.1339,0.20708,0.61623,0.2678,0.82372,0.9999,0,NA,NA,NA,5,0.2678,0.89341,1
"phospholipid biosynthetic process [GO:0008654]",4,0.75,0.56434,1,0.25,0.43626,0.9528,1.8497e-15,0.050695,0.15724,1,3.2972e-60,0.29897,0.7833,3,2.4663e-15,0.13289,0.38879
"ceramide biosynthetic process [GO:0046513]",10,0.8512,0.86681,1,0.1488,0.13329,0.47826,0.29759,0.93951,0.9999,0,NA,NA,NA,10,0.29759,0.9722,1
"plasma membrane organization [GO:0007009]",5,0.93849,0.88331,1,0.061511,0.11679,0.43766,0.12302,0.45675,0.86171,0,NA,NA,NA,5,0.12302,0.55524,0.9386
"chitin biosynthetic process [GO:0006031]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
