"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"subtelomeric heterochromatin formation [GO:0031509]",9,0.60844,0.65113,1,0.39156,0.34897,0.73496,0.56991,0.9708,0.9995,2,0.52028,0.70373,0.9993,7,0.58409,0.9745,0.9998
"DNA duplex unwinding [GO:0032508]",18,0.65442,0.88151,1,0.34558,0.11859,0.40621,0.53095,0.9823,0.9995,6,0.75968,0.9992,0.9993,12,0.41659,0.68983,0.9998
"chromosome, telomeric region [GO:0000781]",16,0.56989,0.51945,1,0.43011,0.48065,0.84854,0.4836,0.91071,0.9995,5,0.39739,0.47865,0.9993,11,0.52278,0.9587,0.9998
"nuclear replication fork [GO:0043596]",7,0.52241,0.35606,1,0.47759,0.64404,0.96291,0.72934,0.9984,0.9995,3,0.73652,0.97,0.9993,4,0.72396,0.9919,0.9998
"nuclear pre-replicative complex [GO:0005656]",7,0.53226,0.38456,1,0.46774,0.61554,0.94651,0.70964,0.998,0.9995,3,0.73652,0.97,0.9993,4,0.68948,0.9846,0.9998
"DNA replication preinitiation complex [GO:0031261]",7,0.42991,0.13939,0.85877,0.57009,0.86071,1,0.69013,0.9968,0.9995,4,0.60621,0.90271,0.9993,3,0.80203,0.994,0.9998
"replication fork protection complex [GO:0031298]",9,0.44244,0.13869,0.85877,0.55756,0.86141,1,0.63412,0.9946,0.9995,5,0.56711,0.88461,0.9993,4,0.71789,0.9908,0.9998
"MCM complex [GO:0042555]",6,0.48362,0.26597,0.9575,0.51638,0.73413,1,0.76928,0.9989,0.9995,3,0.73652,0.97,0.9993,3,0.80203,0.994,0.9998
"CMG complex [GO:0071162]",6,0.48362,0.26597,0.9575,0.51638,0.73413,1,0.76928,0.9989,0.9995,3,0.73652,0.97,0.9993,3,0.80203,0.994,0.9998
"response to oxidative stress [GO:0006979]",11,0.63555,0.76612,1,0.36445,0.23398,0.61853,0.25119,0.036096,0.54774,4,0.34316,0.32757,0.9993,7,0.19864,0.023898,0.59528
"mitochondrial inner membrane [GO:0005743]",131,0.66185,0.9999,1,0.33815,0.00019998,0.011973,0.38611,0.39166,0.9995,36,0.47202,0.90351,0.9993,95,0.35355,0.16918,0.83185
"respiratory chain complex I [GO:0045271]",21,0.5201,0.27277,0.96682,0.4799,0.72733,1,0.4487,0.82592,0.9995,11,0.51212,0.87961,0.9993,10,0.37892,0.51445,0.98142
"histone binding [GO:0042393]",27,0.49672,0.14989,0.87811,0.50328,0.85021,1,0.34709,0.19998,0.92718,13,0.31515,0.10909,0.9993,14,0.37674,0.49255,0.97332
"chromatin organization [GO:0006325]",49,0.45643,0.011299,0.31538,0.54357,0.9888,1,0.40681,0.64804,0.9995,27,0.38267,0.29877,0.9993,22,0.43644,0.84552,0.9998
"nucleosome assembly [GO:0006334]",10,0.43558,0.11049,0.74648,0.56442,0.88961,1,0.40045,0.54825,0.9995,5,0.27161,0.14019,0.9993,5,0.52929,0.89451,0.9998
"DNA replication-dependent chromatin assembly [GO:0006335]",5,0.4433,0.21188,0.88513,0.5567,0.78822,1,0.59558,0.94201,0.9995,3,0.56849,0.81792,0.9993,2,0.63622,0.90221,0.9998
"regulation of gene expression [GO:0010468]",8,0.5238,0.36756,1,0.4762,0.63254,0.9582,0.3708,0.42416,0.9995,4,0.41841,0.53125,0.9993,4,0.32319,0.36916,0.9425
"silent mating-type cassette heterochromatin formation [GO:0030466]",6,0.63044,0.67993,1,0.36956,0.32017,0.7121,0.62642,0.9755,0.9995,2,0.83095,0.9721,0.9993,4,0.52416,0.84572,0.9998
"positive regulation of transcription elongation by RNA polymerase II [GO:0032968]",15,0.58653,0.60204,1,0.41347,0.39806,0.7915,0.35582,0.31207,0.9995,5,0.29332,0.18378,0.9993,10,0.38707,0.55404,0.99489
"cellular response to stress [GO:0033554]",6,0.8664,0.993,1,0.1336,0.0070993,0.080816,0.26719,0.13819,0.83457,0,NA,NA,NA,6,0.26719,0.15878,0.81077
"protein modification process [GO:0036211]",7,0.67984,0.81872,1,0.32016,0.18138,0.52947,0.38354,0.47145,0.9995,1,0.10128,0.092891,0.9993,6,0.43058,0.68353,0.9998
"chromatin [GO:0000785]",65,0.55904,0.46095,1,0.44096,0.53915,0.895,0.40083,0.60574,0.9995,25,0.3746,0.26327,0.9993,40,0.41723,0.82132,0.9998
"unfolded protein binding [GO:0051082]",40,0.60515,0.78912,1,0.39485,0.21098,0.58513,0.39791,0.55364,0.9995,13,0.39725,0.42696,0.9993,27,0.39822,0.65513,0.9998
"NADPH dehydrogenase activity [GO:0003959]",5,0.63165,0.66933,1,0.36835,0.33077,0.71774,0.38436,0.50015,0.9995,1,0.11915,0.14239,0.9993,4,0.45066,0.70903,0.9998
"FMN binding [GO:0010181]",21,0.66766,0.92911,1,0.33234,0.070993,0.30741,0.31159,0.085791,0.72506,5,0.25851,0.11559,0.9993,16,0.32818,0.22668,0.9159
