"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"cell redox homeostasis [GO:0045454]",13,0.57204,0.47375,1,0.42796,0.52635,0.88429,0.22673,0.14399,0.74756,5,0.18205,0.11239,0.99003,8,0.25466,0.39306,1
"cellular oxidant detoxification [GO:0098869]",13,0.33798,0.0094991,0.19006,0.66202,0.9906,1,0.30516,0.51045,1,8,0.17215,0.041896,0.7355,5,0.51797,0.9622,1
"Set1C/COMPASS complex [GO:0048188]",7,0.67586,0.75702,1,0.32414,0.24308,0.5628,0.30687,0.51815,1,2,0.40252,0.64504,1,5,0.26861,0.48035,1
"double-stranded DNA binding [GO:0003690]",13,0.75817,0.9671,1,0.24183,0.032997,0.18002,0.25406,0.24968,0.93136,2,0.25383,0.40286,1,11,0.25411,0.35846,1
"DNA metabolic process [GO:0006259]",8,0.5749,0.48925,1,0.4251,0.51085,0.87209,0.35361,0.70103,1,4,0.50341,0.86841,1,4,0.20381,0.29507,0.96718
"mismatch repair [GO:0006298]",5,0.75654,0.86301,1,0.24346,0.13709,0.39922,0.42659,0.83412,1,1,0.84916,0.92331,1,4,0.32095,0.62784,1
"mitotic recombination [GO:0006312]",5,0.87468,0.9717,1,0.12532,0.028397,0.16972,0.25064,0.35676,0.99647,0,NA,NA,NA,5,0.25064,0.42586,1
"ferrous iron binding [GO:0008198]",6,0.46683,0.23108,0.87955,0.53317,0.76902,1,0.30254,0.50855,1,3,0.23621,0.29447,1,3,0.36888,0.71353,1
"mitochondrial genome maintenance [GO:0000002]",15,0.57359,0.48135,1,0.42641,0.51875,0.87709,0.27645,0.35116,0.99647,7,0.38245,0.67233,1,8,0.1837,0.13019,0.72933
"phosphatase activity [GO:0016791]",30,0.41641,0.0074993,0.18355,0.58359,0.9926,1,0.44165,0.9958,1,20,0.45585,0.9662,1,10,0.41324,0.92271,1
